model,strategy,task,level,n_samples,accuracy,correct,ci95_lower,ci95_upper
gpt-5.1-(reasoning effort low),simple,hinge-folding,4,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,hinge-folding,5,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gpt-5.1-(reasoning effort low),simple,paper-fold,1,30,0.3333333333333333,10,0.19230498083676134,0.5121994835545616
gpt-5.1-(reasoning effort low),simple,paper-fold,2,30,0.23333333333333334,7,0.11792388144489496,0.40928326158122164
gpt-5.1-(reasoning effort low),simple,paper-fold,3,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
gpt-5.1-(reasoning effort low),simple,paper-fold,4,30,0.3333333333333333,10,0.19230498083676134,0.5121994835545616
gpt-5.1-(reasoning effort low),simple,paper-fold,5,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
gpt-5.1-(reasoning effort low),simple,rushhour,1,30,1.0,30,0.8864866068260312,0.9999999999999999
gpt-5.1-(reasoning effort low),simple,rushhour,2,30,0.7666666666666667,23,0.5907167384187784,0.8820761185551049
gpt-5.1-(reasoning effort low),simple,rushhour,3,30,0.2,6,0.0950510717728987,0.3730569641314825
gpt-5.1-(reasoning effort low),simple,rushhour,4,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,rushhour,5,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,sliding-puzzle,1,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
gpt-5.1-(reasoning effort low),simple,sliding-puzzle,2,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,sliding-puzzle,3,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,sliding-puzzle,4,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple,sliding-puzzle,5,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low),simple_text,rushhour,1,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gpt-5.1-(reasoning effort low),simple_text,rushhour,2,30,0.7,21,0.5212421254128504,0.8333525173175619
gpt-5.1-(reasoning effort low),simple_text,rushhour,3,30,0.4,12,0.24590628116801852,0.5767963974667752
gpt-5.1-(reasoning effort low),simple_text,rushhour,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gpt-5.1-(reasoning effort low),simple_text,rushhour,5,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low)-(tool use),tool_use,rushhour,1,30,0.9,27,0.7437891742081593,0.9654001112526658
gpt-5.1-(reasoning effort low)-(tool use),tool_use,rushhour,2,30,0.8,24,0.6269430358685175,0.9049489282271013
